Abbreviation	ModelSEED_rxnID	ModelSEED_cpdID	Bug_rxnID	Complete	HighFiber	Protein	Western
Ribose	rxn29250	cpd05267	EX_cpd05267_e0[u]	-1000	0	0	0
Petroselinic acid	rxn29360	cpd05275	EX_cpd05275_e0[u]	-1000	0	0	0
Sulfur dioxide	rxn09259	cpd06201	EX_cpd06201_e0[u]	-1000	0	0	0
Dihydrocaffeic acid	rxn12412	cpd07333	EX_cpd07333_e0[u]	-1000	0	0	0
DMSO	rxn29142	cpd08021	EX_cpd08021_e0[u]	-1000	0	0	0
4--cytidine5-diphospho-2-C-methyl-D-erythritol	rxn29891	cpd08287	EX_cpd08287_e0[u]	-1000	0	0	0
2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol	rxn29890	cpd08288	EX_cpd08288_e0[u]	-1000	0	0	0
dTDP-4-oxo-beta-L-rhamnose	rxn29901	cpd08300	EX_cpd08300_e0[u]	-1000	0	0	0
NAC	rxn05623	cpd08325	EX_cpd08325_e0[u]	-1000	-1	-1	-1
UDP-6-sulfoquinovose	rxn29915	cpd08358	EX_cpd08358_e0[u]	-1000	0	0	0
Kanosamine	rxn29379	cpd08991	EX_cpd08991_e0[u]	-1000	0	0	0
Sucralose	rxn29419	cpd09058	EX_cpd09058_e0[u]	-1000	0	0	0
Tegafur	rxn34448	cpd09288	EX_cpd09288_e0[u]	-1000	0	0	0
Betadex	rxn29414	cpd09394	EX_cpd09394_e0[u]	-1000	0	0	0
Fe2+	rxn08476	cpd10515	EX_cpd10515_e0[u]	-1000	-1	-1	-1
Fe2+	rxn10963	cpd10515	EX_cpd10515_e0[u]	-1000	-1	-1	-1
fe3	rxn05292	cpd10516	EX_cpd10516_e0[u]	-1000	-1	-1	-1
benzylacetate	rxn12408	cpd11193	EX_cpd11193_e0[u]	-1000	0	0	0
hemeO	rxn39016	cpd11313	EX_cpd11313_e0[u]	-1000	0	0	0
Myristoyl-ACP	rxn09762	cpd11466	EX_cpd11466_e0[u]	-1000	0	0	0
Dodecanoyl-ACP	rxn09763	cpd11468	EX_cpd11468_e0[u]	-1000	0	0	0
Molybdate	rxn29245	cpd11574	EX_cpd11574_e0[u]	-1000	-1	-1	-1
Inulin	rxn28593	cpd11602	EX_cpd11602_e0[u]	-1000	-0.1527778	-0.00694444	-0.0078365
Menaquinone 7	rxn12664	cpd11606	EX_cpd11606_e0[u]	-1000	-1	-1	-1
Acyl-CoA	rxn12632	cpd11611	EX_cpd11611_e0[u]	-1000	0	0	0
hn	rxn31154	cpd11632	EX_cpd11632_e0[u]	-1000	0	0	0
H2	rxn08692	cpd11640	EX_cpd11640_e0[u]	-1000	0	0	0
Hyaluronate	rxn38518	cpd11691	EX_cpd11691_e0[u]	-1000	0	0	0
tRNA uridine	rxn39011	cpd11767	EX_cpd11767_e0[u]	-1000	0	0	0
Octadecenoyl-ACP	rxn09757	cpd11825	EX_cpd11825_e0[u]	-1000	0	0	0
Lipid	rxn29317	cpd11852	EX_cpd11852_e0[u]	-1000	0	0	0
Levan n	rxn28567	cpd12840	EX_cpd12840_e0[u]	-1000	-0.00045833	-0.00020833	-2.35E-05
Episterol	rxn12863	cpd14514	EX_cpd14514_e0[u]	-1000	0	0	0
L-Gulose	rxn29462	cpd14652	EX_cpd14652_e0[u]	-1000	0	0	0
(R)-Lipoic acid	rxn29146	cpd14958	EX_cpd14958_e0[u]	-1000	0	0	0
Traumatin	rxn29347	cpd15025	EX_cpd15025_e0[u]	-1000	0	0	0
12-Oxo-9(Z)-dodecenoic acid	rxn29346	cpd15027	EX_cpd15027_e0[u]	-1000	0	0	0
Geranic acid	rxn29358	cpd15165	EX_cpd15165_e0[u]	-1000	0	0	0
"4,4-dimethylzymosterol"	rxn12861	cpd15210	EX_cpd15210_e0[u]	-1000	0	0	0
hexadecenoate	rxn09675	cpd15237	EX_cpd15237_e0[u]	-1000	-0.02424727	-0.02424727	-0.04243272
hexadecenoate	rxn34365	cpd15237	EX_cpd15237_e0[u]	-1000	0	0	0
Hexadecenoyl-ACP	rxn09759	cpd15239	EX_cpd15239_e0[u]	-1000	0	0	0
Octadecanoyl-ACP	rxn09758	cpd15268	EX_cpd15268_e0[u]	-1000	0	0	0
octadecenoate	rxn09668	cpd15269	EX_cpd15269_e0[u]	-1000	-0.4524847	-0.4524847	-0.79184823
octadecenoate	rxn34367	cpd15269	EX_cpd15269_e0[u]	-1000	-0.4524847	-0.4524847	-0.79184823
octadecynoate	rxn09667	cpd15270	EX_cpd15270_e0[u]	-1000	0	0	0
Octadecynoyl-ACP	rxn09756	cpd15271	EX_cpd15271_e0[u]	-1000	0	0	0
Palmitoyl-ACP	rxn09760	cpd15277	EX_cpd15277_e0[u]	-1000	0	0	0
Tetradecenoyl-ACP	rxn09761	cpd15294	EX_cpd15294_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol didodecanoyl"	rxn07912	cpd15306	EX_cpd15306_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol ditetradecanoyl"	rxn07913	cpd15307	EX_cpd15307_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol ditetradec-7-enoyl"	rxn07914	cpd15308	EX_cpd15308_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol dihexadecanoyl"	rxn07915	cpd15309	EX_cpd15309_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol dihexadec-9-enoyl"	rxn07916	cpd15310	EX_cpd15310_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol dioctadecanoyl"	rxn07917	cpd15311	EX_cpd15311_e0[u]	-1000	0	0	0
"1,2-Diacyl-sn-glycerol dioctadec-11-enoyl"	rxn07918	cpd15312	EX_cpd15312_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl	rxn07939	cpd15336	EX_cpd15336_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl	rxn07940	cpd15337	EX_cpd15337_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl	rxn07941	cpd15338	EX_cpd15338_e0[u]	-1000	0	0	0
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	rxn07942	cpd15339	EX_cpd15339_e0[u]	-1000	0	0	0
