Abbreviation	ModelSEED_rxnID	ModelSEED_cpdID	Bug_rxnID	Complete	HighFiber	Protein	Western
"Galf-beta-1,6-Glcp-alpha-octyl"	rxn29449	cpd25950	EX_cpd25950_e0[u]	-1000	0	0	0
Manp-alpha-octyl	rxn29450	cpd25951	EX_cpd25951_e0[u]	-1000	0	0	0
Galp-alpha-octyl	rxn29451	cpd25952	EX_cpd25952_e0[u]	-1000	0	0	0
GlcNAcp-alpha-octyl	rxn29452	cpd25953	EX_cpd25953_e0[u]	-1000	0	0	0
beta-L-fucopyranose	rxn29453	cpd25981	EX_cpd25981_e0[u]	-1000	0	0	0
L-rhamnitol	rxn29455	cpd25982	EX_cpd25982_e0[u]	-1000	0	0	0
"3,5-tetradecadienoate"	rxn29361	cpd26000	EX_cpd26000_e0[u]	-1000	0	0	0
tetraacyldisaccharide-4-phosphate	rxn29457	cpd26060	EX_cpd26060_e0[u]	-1000	0	0	0
"beta-D-galactopyranoside, 1-methylethyl"	rxn29458	cpd26065	EX_cpd26065_e0[u]	-1000	0	0	0
2-deoxy-2-fluoro-beta-D-galactopyranosyl fluoride	rxn29459	cpd26068	EX_cpd26068_e0[u]	-1000	0	0	0
2-aminogalactopyranose	rxn29460	cpd26069	EX_cpd26069_e0[u]	-1000	0	0	0
"1,5-anhydro-2-deoxy-D-lyxo-hex-1-enitol"	rxn29461	cpd26070	EX_cpd26070_e0[u]	-1000	0	0	0
D-Glucose	rxn29881	cpd26821	EX_cpd26821_e0[u]	-1000	-0.0625	-0.15625	-0.29486781
alpha-D-talose	rxn29464	cpd26829	EX_cpd26829_e0[u]	-1000	0	0	0
DIACYLGLYCEROL	rxn29884	cpd26855	EX_cpd26855_e0[u]	-1000	-1.19497083	-1.19497083	-2.09119895
ferric enterobactin	rxn28564	cpd27027	EX_cpd27027_e0[u]	-1000	0	0	0
Fe-siderophores	rxn27346	cpd27062	EX_cpd27062_e0[u]	-1000	0	0	0
deltaH	rxn29781	cpd27228	EX_cpd27228_e0[u]	-1000	0	0	0
Hexoses	rxn29875	cpd27249	EX_cpd27249_e0[u]	-1000	0	0	0
beta-L-galactose	rxn38519	cpd27360	EX_cpd27360_e0[u]	-1000	0	0	0
beta-L-lyxopyranose	rxn29475	cpd27365	EX_cpd27365_e0[u]	-1000	0	0	0
L-selenocysteine	rxn29220	cpd27371	EX_cpd27371_e0[u]	-1000	0	0	0
Long-Chain-Fatty-Acids	rxn28605	cpd27424	EX_cpd27424_e0[u]	-1000	0	0	0
Long-Chain-Fatty-Acids	rxn29173	cpd27424	EX_cpd27424_e0[u]	-1000	0	0	0
Monosaccharides	rxn29916	cpd27532	EX_cpd27532_e0[u]	-1000	0	0	0
Myristoyl-ACPs	rxn39076	cpd27551	EX_cpd27551_e0[u]	-1000	0	0	0
N-acetyl-beta-D-mannosamine	rxn29482	cpd27563	EX_cpd27563_e0[u]	-1000	0	0	0
N-ACETYLNEURAMINATE	rxn28539	cpd27569	EX_cpd27569_e0[u]	-1000	0	0	0
Nucleotides	rxn29319	cpd27689	EX_cpd27689_e0[u]	-1000	0	0	0
OLIGOPEPTIDES	rxn29264	cpd27704	EX_cpd27704_e0[u]	-1000	0	0	0
Oligosaccharides	rxn29876	cpd27724	EX_cpd27724_e0[u]	-1000	0	0	0
Phospholipids	rxn29737	cpd27865	EX_cpd27865_e0[u]	-1000	0	0	0
Polyamines	rxn29878	cpd27894	EX_cpd27894_e0[u]	-1000	0	0	0
RIBOSE	rxn29247	cpd28037	EX_cpd28037_e0[u]	-1000	0	0	0
Sugar	rxn29882	cpd28198	EX_cpd28198_e0[u]	-1000	0	0	0
"butane, 2,3,4-trihydroxy-, (R*,S*)-"	rxn29491	cpd28226	EX_cpd28226_e0[u]	-1000	0	0	0
Anions	rxn29731	cpd28697	EX_cpd28697_e0[u]	-1000	0	0	0
xylogalacturonan	rxn29380	cpd28726	EX_cpd28726_e0[u]	-1000	0	0	0
Cu	rxn29531	cpd28735	EX_cpd28735_e0[u]	-1000	0	0	0
(+)-Xylose	rxn28577	cpd28748	EX_cpd28748_e0[u]	-1000	0	0	0
Carbohydrates	rxn28565	cpd29189	EX_cpd29189_e0[u]	-1000	0	0	0
Cations	rxn29669	cpd29190	EX_cpd29190_e0[u]	-1000	0	0	0
Groups	rxn29497	cpd29299	EX_cpd29299_e0[u]	-1000	0	0	0
Hemes	rxn29726	cpd29306	EX_cpd29306_e0[u]	-1000	0	0	0
Hydrophilic-Solute-Or-Ion-LT-600Da	rxn28616	cpd29307	EX_cpd29307_e0[u]	-1000	0	0	0
iduronate	rxn29472	cpd29309	EX_cpd29309_e0[u]	-1000	0	0	0
linear alpha-glucan	rxn29480	cpd29323	EX_cpd29323_e0[u]	-1000	0	0	0
Metal-Ions	rxn29252	cpd29402	EX_cpd29402_e0[u]	-1000	0	0	0
Mono-Di-And-Tri-Saccharides-LT-600Da	rxn28617	cpd29405	EX_cpd29405_e0[u]	-1000	0	0	0
Multidrug	rxn29251	cpd29406	EX_cpd29406_e0[u]	-1000	0	0	0
NUCLEOTIDE-SUGARS	rxn29889	cpd29423	EX_cpd29423_e0[u]	-1000	0	0	0
Peptide-Antibiotics	rxn29078	cpd29538	EX_cpd29538_e0[u]	-1000	0	0	0
D-erythro-pentulose	rxn29488	cpd29557	EX_cpd29557_e0[u]	-1000	0	0	0
Sugar-alcohols	rxn29917	cpd29580	EX_cpd29580_e0[u]	-1000	0	0	0
Unspecified-Ion-Or-Solute	rxn28607	cpd29618	EX_cpd29618_e0[u]	-1000	0	0	0
fluoroquinolone deriv	rxn30483	cpd29714	EX_cpd29714_e0[u]	-1000	0	0	0
C07114	rxn33792	cpd29942	EX_cpd29942_e0[u]	-1000	0	0	0
C07114	rxn33796	cpd29942	EX_cpd29942_e0[u]	-1000	0	0	0
C07114	rxn33797	cpd29942	EX_cpd29942_e0[u]	-1000	0	0	0
C07114	rxn33799	cpd29942	EX_cpd29942_e0[u]	-1000	0	0	0
C11348	rxn32267	cpd29951	EX_cpd29951_e0[u]	-1000	0	0	0
C11348	rxn32273	cpd29951	EX_cpd29951_e0[u]	-1000	0	0	0
C11348	rxn32276	cpd29951	EX_cpd29951_e0[u]	-1000	0	0	0
C11348	rxn32277	cpd29951	EX_cpd29951_e0[u]	-1000	0	0	0
C07118	rxn33424	cpd29954	EX_cpd29954_e0[u]	-1000	0	0	0
C07118	rxn33427	cpd29954	EX_cpd29954_e0[u]	-1000	0	0	0
C07118	rxn33429	cpd29954	EX_cpd29954_e0[u]	-1000	0	0	0
C07118	rxn33430	cpd29954	EX_cpd29954_e0[u]	-1000	0	0	0
Extracellualr Acetate	rxn34074	cpd29968	EX_cpd29968_e0[u]	-1000	0	0	0
Extracellular Carbon Dioxide	rxn34071	cpd29976	EX_cpd29976_e0[u]	-1000	0	0	0
Extracellular Bicarbonate	rxn34072	cpd29993	EX_cpd29993_e0[u]	-1000	0	0	0
Extracellular Nitrate	rxn34078	cpd29998	EX_cpd29998_e0[u]	-1000	0	0	0
Extracellular Oxygen	rxn34073	cpd29999	EX_cpd29999_e0[u]	-1000	0	0	0
Extracellular Sulfate	rxn34075	cpd30009	EX_cpd30009_e0[u]	-1000	0	0	0
hv	rxn34294	cpd30058	EX_cpd30058_e0[u]	-1000	0	0	0
beta-D-Fructose	rxn28572	cpd30321	EX_cpd30321_e0[u]	-1000	0	0	0
octadecenoate (18:1(9Z))	rxn34368	cpd30412	EX_cpd30412_e0[u]	-1000	0	0	0
"Sulfoquinovosyldiacylglycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)"	rxn34407	cpd30554	EX_cpd30554_e0[u]	-1000	0	0	0
"Sulfoquinovosyldiacylglycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)"	rxn34408	cpd30556	EX_cpd30556_e0[u]	-1000	0	0	0
alpha-L-arabinopyranose	rxn29375	cpd30755	EX_cpd30755_e0[u]	-1000	0	0	0
