OtuAGenomeID OTUBGenomeID
657315.3 29354.3
657315.3 1469948.3
657315.3 742726.3
657315.3 557855.3
484018.6 1235835.3
484018.6 742823.3
484018.6 1000569.4
1235835.3 742823.3
1235835.3 1414720.3
1235835.3 1156417.3
1235835.3 1000569.4
742823.3 1297617.3
742823.3 1367212.3
1414720.3 1469948.3
1414720.3 1313290.3
1414720.3 557855.3
1156417.3 717962.3
180332.3 1297617.3
180332.3 742726.3
180332.3 557855.3
717962.3 1297617.3
717962.3 29354.3
717962.3 1469948.3
717962.3 1165092.3
717962.3 1000569.4
1297617.3 1313290.3
1297617.3 525362.3
1367212.3 29354.3
1367212.3 742726.3
1367212.3 557855.3
1367212.3 1165092.3
1367212.3 525362.3
1367212.3 1000569.4
29354.3 1469948.3
29354.3 742726.3
29354.3 525362.3
1469948.3 1313290.3
1469948.3 557855.3
1313290.3 1165092.3
1313290.3 525362.3
1313290.3 1000569.4
742726.3 1165092.3
742726.3 525362.3
557855.3 525362.3
