FileName 	ObjFunctionSpeciesA 	ObjFunctionSpeciesB 	GRSpeciesA 	GRSpeciesB
communityA_1414720_3_modelXA_1469948_3_model.xml 	A_1414720_3_model 	A_1469948_3_model 	47.7606066484 	11.9195378302 
communityA_1414720_3_modelXA_1469948_3_model.xml 	A_1414720_3_model 	A_1469948_3_model 	Solo 	40.3738515079 
communityA_1414720_3_modelXA_1469948_3_model.xml 	A_1414720_3_model 	A_1469948_3_model 47.7606066484 	Solo
communityA_1414720_3_modelXA_557855_3_model.xml 	A_1414720_3_model 	A_557855_3_model 	47.7606066484 	152.502819623 
communityA_1414720_3_modelXA_557855_3_model.xml 	A_1414720_3_model 	A_557855_3_model 	Solo 	152.502819623 
communityA_1414720_3_modelXA_557855_3_model.xml 	A_1414720_3_model 	A_557855_3_model 47.7606066484 	Solo
communityA_1469948_3_modelXA_1313290_3_model.xml 	A_1469948_3_model 	A_1313290_3_model 	37.4481303404 	4.48317623371 
communityA_1469948_3_modelXA_1313290_3_model.xml 	A_1469948_3_model 	A_1313290_3_model 	Solo 	26.0904197678 
communityA_1469948_3_modelXA_1313290_3_model.xml 	A_1469948_3_model 	A_1313290_3_model 40.3738515079 	Solo
communityA_1469948_3_modelXA_557855_3_model.xml 	A_1469948_3_model 	A_557855_3_model 	35.7890116629 	148.622176043 
communityA_1469948_3_modelXA_557855_3_model.xml 	A_1469948_3_model 	A_557855_3_model 	Solo 	152.502819623 
communityA_1469948_3_modelXA_557855_3_model.xml 	A_1469948_3_model 	A_557855_3_model 40.3738515079 	Solo
communityA_180332_3_modelXA_1297617_3_model.xml 	A_180332_3_model 	A_1297617_3_model 	47.7962123575 	15.3151093606 
communityA_180332_3_modelXA_1297617_3_model.xml 	A_180332_3_model 	A_1297617_3_model 	Solo 	20.2845775868 
communityA_180332_3_modelXA_1297617_3_model.xml 	A_180332_3_model 	A_1297617_3_model 47.7962123575 	Solo
communityA_180332_3_modelXA_557855_3_model.xml 	A_180332_3_model 	A_557855_3_model 	43.3987503371 	151.231139079 
communityA_180332_3_modelXA_557855_3_model.xml 	A_180332_3_model 	A_557855_3_model 	Solo 	152.502819623 
communityA_180332_3_modelXA_557855_3_model.xml 	A_180332_3_model 	A_557855_3_model 47.7962123575 	Solo
communityA_180332_3_modelXA_742726_3_model.xml 	A_180332_3_model 	A_742726_3_model 	44.2504396768 	102.156620196 
communityA_180332_3_modelXA_742726_3_model.xml 	A_180332_3_model 	A_742726_3_model 	Solo 	102.703169614 
communityA_180332_3_modelXA_742726_3_model.xml 	A_180332_3_model 	A_742726_3_model 47.7962123575 	Solo
communityA_29354_3_modelXA_1469948_3_model.xml 	A_29354_3_model 	A_1469948_3_model 	60.173386658 	29.1456101606 
communityA_29354_3_modelXA_1469948_3_model.xml 	A_29354_3_model 	A_1469948_3_model 	Solo 	40.3738515079 
communityA_29354_3_modelXA_1469948_3_model.xml 	A_29354_3_model 	A_1469948_3_model 73.9321204524 	Solo
communityA_29354_3_modelXA_525362_3_model.xml 	A_29354_3_model 	A_525362_3_model 	59.3933064873 	33.1380124215 
communityA_29354_3_modelXA_525362_3_model.xml 	A_29354_3_model 	A_525362_3_model 	Solo 	35.7552301942 
communityA_29354_3_modelXA_525362_3_model.xml 	A_29354_3_model 	A_525362_3_model 73.9321204524 	Solo
communityA_29354_3_modelXA_742726_3_model.xml 	A_29354_3_model 	A_742726_3_model 	69.6189944443 	98.7614974445 
communityA_29354_3_modelXA_742726_3_model.xml 	A_29354_3_model 	A_742726_3_model 	Solo 	102.703169614 
communityA_29354_3_modelXA_742726_3_model.xml 	A_29354_3_model 	A_742726_3_model 73.9321204524 	Solo
communityA_484018_6_modelXA_1000569_4_model.xml 	A_484018_6_model 	A_1000569_4_model 	81.1429949709 	13.6977201512 
communityA_484018_6_modelXA_1000569_4_model.xml 	A_484018_6_model 	A_1000569_4_model 	Solo 	13.6977201512 
communityA_484018_6_modelXA_1000569_4_model.xml 	A_484018_6_model 	A_1000569_4_model 81.3046371793 	Solo
communityA_484018_6_modelXA_1235835_3_model.xml 	A_484018_6_model 	A_1235835_3_model 	81.2022254147 	17.5766940838 
communityA_484018_6_modelXA_1235835_3_model.xml 	A_484018_6_model 	A_1235835_3_model 	Solo 	17.5766940838 
communityA_484018_6_modelXA_1235835_3_model.xml 	A_484018_6_model 	A_1235835_3_model 81.3046371793 	Solo
communityA_484018_6_modelXA_742823_3_model.xml 	A_484018_6_model 	A_742823_3_model 	81.0868536062 	78.4363728903 
communityA_484018_6_modelXA_742823_3_model.xml 	A_484018_6_model 	A_742823_3_model 	Solo 	79.8886235361 
communityA_484018_6_modelXA_742823_3_model.xml 	A_484018_6_model 	A_742823_3_model 81.3046371793 	Solo
communityA_557855_3_modelXA_525362_3_model.xml 	A_557855_3_model 	A_525362_3_model 	151.231139079 	31.9103880993 
communityA_557855_3_modelXA_525362_3_model.xml 	A_557855_3_model 	A_525362_3_model 	Solo 	35.7552301942 
communityA_557855_3_modelXA_525362_3_model.xml 	A_557855_3_model 	A_525362_3_model 152.502819623 	Solo
communityA_657315_3_modelXA_1469948_3_model.xml 	A_657315_3_model 	A_1469948_3_model 	131.004587125 	35.2547899019 
communityA_657315_3_modelXA_1469948_3_model.xml 	A_657315_3_model 	A_1469948_3_model 	Solo 	40.3738515079 
communityA_657315_3_modelXA_1469948_3_model.xml 	A_657315_3_model 	A_1469948_3_model 138.230959644 	Solo
communityA_657315_3_modelXA_29354_3_model.xml 	A_657315_3_model 	A_29354_3_model 	138.168418386 	67.1977513903 
communityA_657315_3_modelXA_29354_3_model.xml 	A_657315_3_model 	A_29354_3_model 	Solo 	73.9321204524 
communityA_657315_3_modelXA_29354_3_model.xml 	A_657315_3_model 	A_29354_3_model 138.230959644 	Solo
communityA_657315_3_modelXA_557855_3_model.xml 	A_657315_3_model 	A_557855_3_model 	137.324975346 	142.971393397 
communityA_657315_3_modelXA_557855_3_model.xml 	A_657315_3_model 	A_557855_3_model 	Solo 	152.502819623 
communityA_657315_3_modelXA_557855_3_model.xml 	A_657315_3_model 	A_557855_3_model 138.230959644 	Solo
communityA_657315_3_modelXA_742726_3_model.xml 	A_657315_3_model 	A_742726_3_model 	121.680998851 	102.605278957 
